Vegetables,Days
bell pepper,7
citrus,14
Onion,14
Potato,30
Cabbage,14
Cucumber,14
Beetroot,28
Beans,7
Asparagus,5
Broccoli,28
Brussel Sprouts,4
Carrot,14
Cauliflower,21
Corn,7
Radish,14
Eggplant,5
Ginger,21
Lettuce,10
Mushrooms,10
Onion,10
Peas,3
Pepper,10
Pumpkin,30
Shallots,14
Tomato,22
Zucchini,5
Fruits,
Apple,7
Apricots,3
Avocado,4
Banana,7
Blackberries,3
Blackcurrant,14
Blueberries,18
Cantaloupe,5
Cherry,3
Orange,3
Coconut,120
Cranberries,28
Custard Apple,2
Date,120
Durian,3
Figs,10
Gooseberries,21
Grapefruit,21
Grapes,5
Guava,4
Honeydew,7
Jackfruit,7
Kiwi,7
Lemon,28
Lime,28
Longan,28
Lychee,3
Mandarin,14
Mango,14
Mangosteen,3
Mulberries,2
Nectarine,5
Olives,28
Papaya,7
Passion Fruit,30
Peaches,4
Pear,10
Persimmon,2
Dragonfruit,6
Pineapple,3
Plums,5
Pomegranate,60
Prunes,420
Raspberries,2
Sapodilla,17
Sapote,21
Soursop,2
Strawberry,2
Sugar Apple,2
Tamarind ,90
Tangerine,14
Watermelon,10
Dairy,14
Egg,35
Meat,2
Fish,2
Bread,5
Butter,210
Mustard ,365
Ketchup,180
Chocolate,365
Soy sauce,180
cheese,30
herbs,15
cilantro,10
dill,14
parsley,10
coriander,365
milk,7
Baby Corn,14
Bottle gourd,14
Ash gourd,14
Bitter gourd,5
Capsicum,10
Drumstick,8
Garlic,150
Green chilli,7
Okra,10
Mint leaves,7
Mint,10
Plantain,21
Red chilli,7
ivy gourd,8
gherkins,365
sweet potato,35
turnip,150
elephant yam,150
yam,150
spine gourd,4
Wood Apple ,60
Walnut,280
Cashew,280
Almond,280
Hazel nut,280
Macadamia ,280
Chocolate,365
