Item,Days
onion,14
potato,30
cabbage,14
cucumber,14
beetroot,28
beans,7
asparagus,5
broccoli,28
brussel sprouts,4
carrot,14
cauliflower,21
corn,7
radish,14
eggplant,5
ginger,21
lettuce,10
mushrooms,10
onion,10
peas,3
pepper,10
pumpkin,30
shallots,14
tomato,22
zucchini,5
fruits,10
apple,7
apricots,3
avocado,4
banana,7
blackberries,3
blackcurrant,14
blueberries,18
cantaloupe,5
cherry,3
orange,3
coconut,120
cranberries,28
custard apple,2
date,120
durian,3
figs,10
gooseberries,21
grapefruit,21
grapes,5
guava,4
honeydew,7
jackfruit,7
kiwi,7
lemon,28
lime,28
longon,28
lychee,3
mandarin,14
mango,14
mangosteen,3
mulberries,2
nectarine,5
olives,28
papaya,7
passion fruit,30
peaches,4
pear,10
persimmon,2
dragonfruit,6
pineapple,3
plums,5
pomegranate,60
prunes,420
raspberries,2
sapodilla,17
sapote,21
soursop,2
strawberry,2
sugar apple,2
tamarind,90
tangerine,14
watermelon,10
dairy,14
egg,35
meat,2
fish,2
bread,5
butter,210
wine,100
mustard,365
ketchup,180
chocolate,365
soy sauce,180
cheese,30
herbs,15
cilantro,10
dill,14
parsley,10
coriander,365
medicine,100
champagne,100
baby corn,14
bottle gourd,14
ash gourd,14
bitter gourd,5
capsicum,10
drumstick,8
garlic,150
green chilli,7
okra,10
mint leaves,7
mint,7
plantain,21
red chilli,7
ivy gourd,8
gherkins,365
sweet potato,35
turnip,150
elephant yam,150
yam,150
spine gourd,4
wood apple,60
walnut,280
cashew,280
almond,280
hazel nut,280
macadamia,280
chocolate,365
